id,budget,original_language,popularity,runtime,revenue,has_homepage,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,overview_count,overview_life,overview_find,overview_one,overview_new,overview_love,company_count,production_company_Warner Bros.,production_company_Universal Pictures,production_company_Paramount Pictures,production_company_Twentieth Century Fox Film Corporation,production_country_count,release_month,release_day,release_year,dayofweek,spoken_language_count,has_Released,tagline_count,tagline_one,tagline_love,tagline_world,tagline_life,tagline_stori,tagline_man,title_count,keyword_count,keyword_relationship,keyword_base,keyword_woman,keyword_film,keyword_murder,keyword_love,cast_1,cast_2,cast_3,cast_count,crew_count
17,26000000,en,6.336926999999999,85.0,57891803,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,102,0,0,0,0,0,3,0,0,0,0,1,8,4,2005,3,2,1,3,0,0,0,0,0,0,2,4,0,0,0,0,0,0,Rachel McAdams,Cillian Murphy,Cillian Murphy,24.0,35
18,0,en,4.1835580000000006,111.0,1234254,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,50,0,0,0,0,1,4,0,0,0,0,1,12,25,2013,2,1,1,10,1,0,0,0,1,0,3,2,0,0,0,0,0,0,Ralph Fiennes,Felicity Jones,Felicity Jones,19.0,31
19,8000000,en,6.496258999999999,96.0,1749457,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54,1,0,0,0,0,4,0,0,0,0,3,2,2,2011,2,2,1,5,0,0,0,0,0,0,2,7,0,0,0,0,0,0,Felicity Jones,Ed Westwick,Ed Westwick,23.0,2
20,32000000,en,11.359658999999999,87.0,85167639,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52,0,0,0,0,0,7,0,0,0,1,1,8,2,2005,1,3,1,10,0,0,0,0,0,0,2,5,0,0,0,0,0,0,Jason Statham,Amber Valletta,Amber Valletta,10.0,17
21,80000000,en,12.000579,130.0,136159423,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,47,1,1,0,0,0,4,0,0,0,0,1,4,3,1998,4,1,1,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,Gary Oldman,William Hurt,William Hurt,20.0,120
22,4000000,en,7.99229,95.0,36690067,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40,0,0,1,0,0,2,0,0,1,0,1,8,13,1982,4,1,1,10,0,0,0,0,0,0,5,9,0,0,0,0,1,0,Dana Kimmell,Paul Kratka,Paul Kratka,16.0,11
23,0,en,7.820786999999999,116.0,100345,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,32,0,0,0,0,0,3,0,0,0,0,1,7,28,2012,5,1,1,4,0,0,0,0,0,0,3,13,0,0,0,0,0,0,Calvin Lee Reeder,Lane Hughes,Lane Hughes,30.0,19
24,0,en,1.323333,92.0,17011,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,125,1,0,1,0,1,3,0,0,0,0,1,9,2,2011,4,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Max Perlich,Lesley-Ann Brandt,Lesley-Ann Brandt,19.0,10
25,0,en,7.434577,87.0,4947717,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,0,0,0,0,0,2,0,0,0,0,1,9,9,2006,5,3,1,14,0,0,0,0,0,0,2,3,0,0,0,0,0,0,Nathan Meister,Peter Feeney,Peter Feeney,13.0,10
26,0,en,1.252367,95.0,8403433,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,80,0,1,1,0,0,4,0,1,0,0,2,10,23,1992,4,1,1,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Larry Drake,Holly Marie Combs,Holly Marie Combs,15.0,14
27,10000000,en,4.305734999999999,110.0,13835130,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,23,0,0,0,0,0,4,0,0,0,0,1,9,8,1997,0,1,1,8,0,0,0,0,0,0,3,4,0,0,0,1,0,0,Steve Martin,Campbell Scott,Campbell Scott,6.0,18
28,11000000,en,10.841891,93.0,7847000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,92,1,1,0,0,1,3,0,0,0,0,2,9,7,2013,5,1,1,5,0,0,0,0,0,0,2,3,1,0,0,0,0,1,Daniel Radcliffe,Zoe Kazan,Zoe Kazan,24.0,15
29,6000000,en,6.759181,84.0,5849647,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,4,0,0,0,0,1,8,8,1986,4,2,1,8,0,0,0,0,0,0,4,6,0,1,0,0,0,0,Judd Nelson,Peter Cullen,Peter Cullen,33.0,18
30,45000000,en,7.81862,89.0,94935764,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85,1,0,0,1,0,1,0,0,1,0,1,4,7,2002,6,1,1,14,0,0,0,0,0,0,2,4,0,0,0,0,0,0,Ben Affleck,Samuel L. Jackson,Samuel L. Jackson,11.0,8
31,13000000,fr,16.086919,112.0,426480871,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,8,0,0,0,0,1,11,2,2011,2,2,1,19,0,0,1,0,0,0,2,7,0,0,0,0,0,0,François Cluzet,Omar Sy,Omar Sy,32.0,34
32,0,fr,5.69586,117.0,36000000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,15,0,0,0,0,0,15,0,0,0,0,5,5,2,2005,0,1,1,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,Daniel Auteuil,Juliette Binoche,Juliette Binoche,14.0,18
33,90000000,en,13.412445000000002,106.0,146936910,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,123,1,0,0,0,0,7,0,0,0,0,1,10,21,2015,2,1,1,2,0,0,0,0,0,0,4,4,0,0,0,0,0,0,Vin Diesel,Rose Leslie,Rose Leslie,22.0,92
34,0,en,8.254856,125.0,7171,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,42,0,0,0,1,0,3,0,0,0,0,5,10,2,2014,3,7,1,4,0,0,0,0,0,0,4,4,0,0,1,0,0,0,Eric Jacobus,Julian Barratt,Julian Barratt,31.0,59
35,140000000,en,9.718111,91.0,258022233,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64,0,0,0,0,0,1,0,0,0,0,1,8,8,2007,2,5,1,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,Chris Tucker,Jackie Chan,Jackie Chan,18.0,18
36,30000000,en,8.234382,94.0,40346186,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,1,0,1,0,5,0,0,0,0,1,4,16,2012,0,3,1,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Jason Statham,Chris Sarandon,Chris Sarandon,15.0,34
37,0,en,2.100499,105.0,151559,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,3,0,0,0,0,3,1,28,2000,4,1,1,11,1,0,0,0,0,0,2,14,1,0,0,1,0,1,Kate Hudson,Frances O'Connor,Frances O'Connor,15.0,2
38,50000000,en,13.676444,127.0,189859560,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,47,0,1,0,0,0,4,1,0,0,0,1,3,10,1995,4,3,1,18,0,0,1,0,0,0,1,8,0,0,0,0,0,0,Dustin Hoffman,Rene Russo,Rene Russo,14.0,13
39,0,en,0.32926,90.0,92100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,9,13,2013,4,3,1,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Jah Shams,Mary Grace,Mary Grace,5.0,2
40,3800000,en,3.055936,123.0,14873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,43,0,0,0,0,0,2,0,0,0,0,1,4,7,1965,1,3,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,Charlton Heston,Richard Harris,Richard Harris,14.0,12
41,0,en,2.941626,118.0,163000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,1,0,0,0,0,1,4,26,2006,2,1,1,10,0,0,0,0,0,0,2,2,0,0,0,0,0,0,None,Jon Roberts,Jon Roberts,6.0,1
42,3000000,en,9.718713000000001,126.0,16217773,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,1,0,2,1,0,0,0,1,6,22,1967,2,1,1,9,0,0,0,0,0,0,3,12,0,0,0,0,0,0,Paul Newman,George Kennedy,George Kennedy,32.0,28
43,25000000,en,2.9719990000000003,108.0,24362772,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,1,0,1,2,0,0,1,0,1,3,3,2000,4,2,1,6,0,0,0,0,0,0,4,10,1,0,0,0,0,0,Madonna,Rupert Everett,Rupert Everett,11.0,12
44,6000000,en,9.383088,92.0,1020921,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,3,0,0,0,0,1,9,5,2014,4,1,1,5,0,0,0,0,1,0,3,5,0,0,0,0,0,0,Morgan Freeman,Diane Keaton,Diane Keaton,32.0,12
45,15000000,en,5.615303,88.0,47175038,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76,1,0,0,0,0,3,0,0,0,0,1,2,4,2005,4,1,1,5,0,1,0,0,0,0,3,6,0,1,1,0,0,0,Debra Messing,Dermot Mulroney,Dermot Mulroney,10.0,12
46,3906840,it,2.382068,95.0,4300000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,35,0,0,0,0,0,2,0,0,0,0,1,10,9,2009,4,2,1,6,0,0,0,0,0,0,3,11,0,0,0,0,0,1,Kseniya Rappoport,Filippo Timi,Filippo Timi,15.0,7
47,80000000,en,16.646029000000002,91.0,660940780,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,2,0,0,0,0,1,3,23,2006,3,1,1,6,0,0,0,0,0,0,4,11,0,0,0,0,0,0,Ray Romano,John Leguizamo,John Leguizamo,42.0,10
48,44000000,en,20.328822,167.0,155760117,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,19,0,0,0,0,0,3,0,0,0,0,1,12,25,2015,4,2,1,10,1,0,0,0,0,0,3,8,0,0,0,0,0,0,Samuel L. Jackson,Kurt Russell,Kurt Russell,18.0,77
49,0,en,8.984386,94.0,653951,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,1,0,0,0,0,1,3,24,2017,4,1,1,0,0,0,0,0,0,0,1,8,0,1,0,0,0,0,Woody Harrelson,Sandy Oian-Thomas,Sandy Oian-Thomas,44.0,31
50,38000000,en,8.105708,118.0,120000000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,45,0,1,1,0,0,1,0,0,1,0,1,11,17,1994,3,1,1,2,0,0,0,0,0,0,3,5,0,1,0,0,0,0,Patrick Stewart,Jonathan Frakes,Jonathan Frakes,17.0,15
51,560000,nl,1.572904,102.0,1500000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,140,1,0,0,0,0,0,0,0,0,0,1,1,30,2008,2,1,1,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,Barbara Sarafian,Jurgen Delnaet,Jurgen Delnaet,9.0,2
52,12000000,en,4.473326999999999,160.0,25333333,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,1,0,1,1,0,0,0,1,7,1,1965,2,2,1,11,1,0,0,0,0,0,3,5,0,0,0,0,0,0,Jack Lemmon,Tony Curtis,Tony Curtis,17.0,6
53,0,en,1.012665,97.0,11000000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,1,6,24,1980,1,1,1,12,0,0,0,0,0,0,7,5,0,0,0,0,0,0,Elliott Gould,Geneviève Bujold,Geneviève Bujold,13.0,7
54,0,en,5.410839,98.0,17514553,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,71,0,0,0,0,0,1,0,0,0,0,1,1,15,1988,4,1,1,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,Molly Ringwald,Randall Batinkoff,Randall Batinkoff,9.0,4
55,20000000,en,8.759801,107.0,46069568,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,4,0,0,0,0,1,2,19,2016,4,1,1,10,0,0,0,0,0,0,1,12,0,0,0,0,0,0,None,Tom Felton,Tom Felton,30.0,21
56,0,en,9.122717999999999,95.0,36448200,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,81,1,0,0,0,0,1,0,0,0,0,1,7,2,1993,4,1,1,5,0,0,0,0,0,0,3,7,0,0,0,0,0,0,Pauly Shore,Carla Gugino,Carla Gugino,9.0,3
57,0,fr,2.94798,97.0,1056938,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,130,1,0,1,0,0,1,0,0,0,0,2,8,5,2009,2,2,1,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,Sandrine Bonnaire,Kevin Kline,Kevin Kline,9.0,3
58,125000000,en,17.038823999999998,125.0,238207122,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44,0,0,0,1,0,2,1,0,0,0,2,6,20,1997,4,1,1,5,0,0,0,0,0,0,2,9,0,0,0,0,0,0,George Clooney,Chris O'Donnell,Chris O'Donnell,14.0,105
59,0,en,1.8824459999999998,95.0,119563,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,71,0,0,0,0,1,1,0,0,0,0,1,6,24,2008,1,1,1,0,0,0,0,0,0,0,4,9,1,0,0,1,0,0,Tanner Cohen,None,None,5.0,1
60,14000000,en,3.909079,95.0,25482931,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,1,1,1,0,0,1,0,0,0,0,1,3,8,2002,4,2,1,7,0,0,0,0,0,0,4,20,1,0,0,0,0,0,Ice Cube,Mike Epps,Mike Epps,7.0,1
61,150000000,en,23.065078,144.0,599045960,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,79,0,0,0,0,0,3,0,0,0,0,5,11,14,2006,1,2,1,9,0,0,0,0,0,0,2,10,0,0,0,0,0,0,Daniel Craig,Eva Green,Eva Green,79.0,126
62,4000000,en,1.8010709999999999,105.0,14400000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,1,0,0,0,0,1,5,30,1956,1,2,1,15,0,0,0,0,0,0,1,2,0,0,0,0,0,0,Burt Lancaster,Tony Curtis,Tony Curtis,15.0,9
63,0,en,6.3816120000000005,124.0,25232289,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,29,0,0,0,0,0,2,0,0,0,0,1,1,16,1998,4,1,1,17,0,0,0,0,0,0,1,16,0,0,0,0,1,0,Denzel Washington,John Goodman,John Goodman,10.0,48
64,5000000,en,7.743144,100.0,14000000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,78,0,0,1,1,1,3,0,0,1,0,1,7,28,1989,4,1,1,7,0,0,0,0,0,0,8,10,0,0,0,0,0,0,Kane Hodder,Jensen Daggett,Jensen Daggett,16.0,7
65,12000000,en,11.160699000000001,115.0,17654912,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,2,0,0,0,0,1,9,21,2013,5,2,1,17,0,0,0,1,0,0,1,11,0,0,0,0,0,0,Bruce Dern,Will Forte,Will Forte,14.0,69
66,1500000,en,8.822275999999999,92.0,11806119,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,1,0,0,0,0,1,2,26,1988,4,1,1,7,0,0,0,0,1,0,1,6,0,0,0,0,0,0,Jean-Claude Van Damme,Bolo Yeung,Bolo Yeung,9.0,12
67,12000000,en,5.145185,108.0,204940,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,1,1,14,2010,3,1,1,9,0,0,0,0,0,0,3,2,0,0,0,0,0,0,Keanu Reeves,Vera Farmiga,Vera Farmiga,16.0,12
68,0,zh,6.303552,133.0,154120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,3,10,4,2013,4,2,1,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,Jiang Wu,Wang Baoqiang,Wang Baoqiang,7.0,5
69,2000000,en,14.284787,129.0,13129846,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,139,1,0,0,0,0,1,0,1,0,0,1,12,25,1962,0,1,1,0,0,0,0,0,0,0,4,17,1,1,0,0,0,0,Gregory Peck,Brock Peters,Brock Peters,56.0,34
70,85000000,en,2.238808,104.0,158468292,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,37,0,0,0,0,0,1,0,1,0,0,2,6,3,2006,5,2,1,9,0,0,0,0,0,0,7,9,0,0,0,0,0,0,Lucas Black,Nathalie Kelley,Nathalie Kelley,56.0,57
71,29000000,en,12.092096000000002,103.0,21126225,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,30,1,0,0,0,1,7,0,0,0,0,2,3,4,2005,4,1,1,5,0,0,0,0,0,0,2,18,0,0,0,0,1,1,Adrien Brody,Keira Knightley,Keira Knightley,22.0,20
72,0,es,7.667491,126.0,16756372,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,8,0,0,0,0,8,2,6,2004,4,2,1,9,0,0,1,0,0,0,3,13,0,0,0,0,0,0,Gael García Bernal,Rodrigo de la Serna,Rodrigo de la Serna,13.0,11
73,11000000,en,8.290384,85.0,8266343,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,2,0,1,0,0,1,4,5,1990,3,1,1,10,0,0,0,0,0,0,2,7,0,0,0,0,0,0,Johnny Depp,Amy Locane,Amy Locane,15.0,7
74,0,cs,0.9195559999999999,90.0,17393,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,1,0,0,0,0,0,0,1,3,30,2004,1,1,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,Varhan Orchestrovich Bauer ,Jaromír Kalina ,Jaromír Kalina ,6.0,5
75,445000,en,2.482536,84.0,2300000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,1,0,0,0,0,1,3,31,1976,2,1,1,15,0,0,0,0,0,0,3,15,0,0,0,1,1,0,Yvette Mimieux,Tommy Lee Jones,Tommy Lee Jones,16.0,12
76,17000000,en,9.665251,106.0,24922237,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36,0,0,0,1,0,1,0,0,0,0,2,8,18,2011,3,1,1,11,0,0,0,0,0,0,2,5,0,0,0,0,0,0,Anton Yelchin,Colin Farrell,Colin Farrell,16.0,10
77,500000,ta,0.660663,157.0,500000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,100,0,1,0,0,1,0,0,0,0,0,1,5,5,2000,4,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Ajith Kumar,Mammootty,Mammootty,11.0,7
78,6000000,en,10.451986,98.0,39846344,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,2,1,0,0,0,1,7,25,1980,4,1,1,5,0,0,0,0,0,0,1,5,0,0,0,0,0,0,Chevy Chase,Rodney Dangerfield,Rodney Dangerfield,55.0,9
79,0,en,2.6333990000000003,122.0,35610100,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,43,0,0,0,1,1,2,1,0,0,0,1,12,18,1981,4,1,1,16,0,0,0,0,0,0,3,13,0,0,0,0,1,0,Burt Reynolds,Rachel Ward,Rachel Ward,15.0,13
80,1500000,en,6.636625,102.0,779820,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13,0,0,0,0,0,5,0,0,0,0,2,9,15,2016,3,3,1,3,0,0,0,0,0,0,1,13,0,0,0,0,0,0,Sheri Moon Zombie,Meg Foster,Meg Foster,31.0,80
81,15000000,en,4.9840800000000005,118.0,9237470,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,26,0,0,0,0,0,6,0,0,0,0,3,12,14,2002,5,1,1,14,1,0,0,0,0,0,2,13,0,0,0,1,0,0,Kurt Russell,Scott Speedman,Scott Speedman,17.0,22
82,10284523,en,4.3490459999999995,104.0,11588205,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,62,1,0,0,0,1,4,0,0,0,0,1,10,21,2005,4,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Steve Martin,Claire Danes,Claire Danes,11.0,12
